"%(time), created by Plot Digitizer, 2.6.6"
"Date: 11/2/14, 1:59:18 PM"


9
time,%
-0.00295616,99.6876,
2.39234,78.2661,
4.94674,62.5250,
7.41513,51.5147,
9.79726,45.5509,
12.3514,30.1253,
14.9052,15.0150,
17.4516,8.73783,
19.7531,1.19566,
